Couchbase Query,CPU consumption,RAM consumption,Total consumption,Time Taken,MongoDB Query,CPU consumption,RAM consumption,Total consumption,Time Taken,MySQL Query,CPU consumption,RAM consumption,Total consumption,Time Taken,PostgreSQL Query,CPU consumption,RAM consumption,Total consumption,Time Taken
"INSERT INTO netflix_userbase(KEY, VALUE) VALUES(""2502"",{""User_ID"": ""2502"",""Subscription_Type"": ""Basic"",""Monthly_Revenue"": 18,""Join_Date"": ""2022-08-31"",""Last_Payment_Date"": ""2023-07-21"",""Country"": ""United States"",""Age"": 33,""Gender"": ""Female"",""Device"": ""Smart TV"",""Plan_Duration"": ""1 Month""});",1.42,0.19,1.61,6.07,"db.netflix_userbase.insertOne({ ""User_ID"": 2501, ""Subscription_Type"": ""Basic"" , ""Monthly_Revenue"": 18, ""Join_Date"": ""2022-08-31"", ""Last_Payment_Date"": ""2023-07-21"" , ""Country"": ""United States"", ""Age"": 33 , ""Gender"": ""Female"" , ""Device"": ""Smart TV"", ""Plan_Duration"": ""1 Month""})",1.38,0.18,1.57,6.08,"INSERT INTO netflix_userbase (User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES (2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON DUPLICATE KEY UPDATE User_ID=2502;",1.31,0.19,1.5,6.2,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",1.27,0.19,1.46,6.14
"INSERT INTO netflix_userbase(KEY, VALUE) VALUES(""2502"",{""User_ID"": ""2502"",""Subscription_Type"": ""Basic"",""Monthly_Revenue"": 18,""Join_Date"": ""2022-08-31"",""Last_Payment_Date"": ""2023-07-21"",""Country"": ""United States"",""Age"": 33,""Gender"": ""Female"",""Device"": ""Smart TV"",""Plan_Duration"": ""1 Month""});",1.47,0.19,1.65,6.04,"db.netflix_userbase.insertOne({ ""User_ID"": 2501, ""Subscription_Type"": ""Basic"" , ""Monthly_Revenue"": 18, ""Join_Date"": ""2022-08-31"", ""Last_Payment_Date"": ""2023-07-21"" , ""Country"": ""United States"", ""Age"": 33 , ""Gender"": ""Female"" , ""Device"": ""Smart TV"", ""Plan_Duration"": ""1 Month""})",2.4,0.18,2.58,6.05,"INSERT INTO netflix_userbase (User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES (2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON DUPLICATE KEY UPDATE User_ID=2502;",2.84,0.19,3.03,6.15,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",0.78,0.18,0.97,6.0
"INSERT INTO netflix_userbase(KEY, VALUE) VALUES(""2502"",{""User_ID"": ""2502"",""Subscription_Type"": ""Basic"",""Monthly_Revenue"": 18,""Join_Date"": ""2022-08-31"",""Last_Payment_Date"": ""2023-07-21"",""Country"": ""United States"",""Age"": 33,""Gender"": ""Female"",""Device"": ""Smart TV"",""Plan_Duration"": ""1 Month""});",1.18,0.19,1.37,6.11,"db.netflix_userbase.insertOne({ ""User_ID"": 2501, ""Subscription_Type"": ""Basic"" , ""Monthly_Revenue"": 18, ""Join_Date"": ""2022-08-31"", ""Last_Payment_Date"": ""2023-07-21"" , ""Country"": ""United States"", ""Age"": 33 , ""Gender"": ""Female"" , ""Device"": ""Smart TV"", ""Plan_Duration"": ""1 Month""})",1.15,0.18,1.33,6.03,"INSERT INTO netflix_userbase (User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES (2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON DUPLICATE KEY UPDATE User_ID=2502;",1.77,0.19,1.97,6.33,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",0.95,0.19,1.14,6.04
"INSERT INTO netflix_userbase(KEY, VALUE) VALUES(""2502"",{""User_ID"": ""2502"",""Subscription_Type"": ""Basic"",""Monthly_Revenue"": 18,""Join_Date"": ""2022-08-31"",""Last_Payment_Date"": ""2023-07-21"",""Country"": ""United States"",""Age"": 33,""Gender"": ""Female"",""Device"": ""Smart TV"",""Plan_Duration"": ""1 Month""});",1.5,0.19,1.69,6.4,"db.netflix_userbase.insertOne({ ""User_ID"": 2501, ""Subscription_Type"": ""Basic"" , ""Monthly_Revenue"": 18, ""Join_Date"": ""2022-08-31"", ""Last_Payment_Date"": ""2023-07-21"" , ""Country"": ""United States"", ""Age"": 33 , ""Gender"": ""Female"" , ""Device"": ""Smart TV"", ""Plan_Duration"": ""1 Month""})",1.86,0.19,2.05,6.18,"INSERT INTO netflix_userbase (User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES (2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON DUPLICATE KEY UPDATE User_ID=2502;",1.5,0.19,1.69,6.17,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",0.93,0.18,1.12,5.97
"INSERT INTO netflix_userbase(KEY, VALUE) VALUES(""2502"",{""User_ID"": ""2502"",""Subscription_Type"": ""Basic"",""Monthly_Revenue"": 18,""Join_Date"": ""2022-08-31"",""Last_Payment_Date"": ""2023-07-21"",""Country"": ""United States"",""Age"": 33,""Gender"": ""Female"",""Device"": ""Smart TV"",""Plan_Duration"": ""1 Month""});",1.73,0.2,1.93,6.38,"db.netflix_userbase.insertOne({ ""User_ID"": 2501, ""Subscription_Type"": ""Basic"" , ""Monthly_Revenue"": 18, ""Join_Date"": ""2022-08-31"", ""Last_Payment_Date"": ""2023-07-21"" , ""Country"": ""United States"", ""Age"": 33 , ""Gender"": ""Female"" , ""Device"": ""Smart TV"", ""Plan_Duration"": ""1 Month""})",0.81,0.18,1.0,6.07,"INSERT INTO netflix_userbase (User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES (2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON DUPLICATE KEY UPDATE User_ID=2502;",1.09,0.19,1.28,6.08,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",0.71,0.18,0.9,5.95
"INSERT INTO netflix_userbase(KEY, VALUE) VALUES(""2502"",{""User_ID"": ""2502"",""Subscription_Type"": ""Basic"",""Monthly_Revenue"": 18,""Join_Date"": ""2022-08-31"",""Last_Payment_Date"": ""2023-07-21"",""Country"": ""United States"",""Age"": 33,""Gender"": ""Female"",""Device"": ""Smart TV"",""Plan_Duration"": ""1 Month""});",1.36,0.19,1.55,6.26,"db.netflix_userbase.insertOne({ ""User_ID"": 2501, ""Subscription_Type"": ""Basic"" , ""Monthly_Revenue"": 18, ""Join_Date"": ""2022-08-31"", ""Last_Payment_Date"": ""2023-07-21"" , ""Country"": ""United States"", ""Age"": 33 , ""Gender"": ""Female"" , ""Device"": ""Smart TV"", ""Plan_Duration"": ""1 Month""})",1.15,0.19,1.34,6.11,"INSERT INTO netflix_userbase (User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES (2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON DUPLICATE KEY UPDATE User_ID=2502;",1.19,0.19,1.37,6.04,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",0.96,0.18,1.15,5.95
"INSERT INTO netflix_userbase(KEY, VALUE) VALUES(""2502"",{""User_ID"": ""2502"",""Subscription_Type"": ""Basic"",""Monthly_Revenue"": 18,""Join_Date"": ""2022-08-31"",""Last_Payment_Date"": ""2023-07-21"",""Country"": ""United States"",""Age"": 33,""Gender"": ""Female"",""Device"": ""Smart TV"",""Plan_Duration"": ""1 Month""});",1.48,0.21,1.69,6.71,"db.netflix_userbase.insertOne({ ""User_ID"": 2501, ""Subscription_Type"": ""Basic"" , ""Monthly_Revenue"": 18, ""Join_Date"": ""2022-08-31"", ""Last_Payment_Date"": ""2023-07-21"" , ""Country"": ""United States"", ""Age"": 33 , ""Gender"": ""Female"" , ""Device"": ""Smart TV"", ""Plan_Duration"": ""1 Month""})",1.18,0.19,1.37,6.28,"INSERT INTO netflix_userbase (User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES (2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON DUPLICATE KEY UPDATE User_ID=2502;",0.94,0.19,1.12,6.08,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",0.82,0.18,1.0,5.96
"INSERT INTO netflix_userbase(KEY, VALUE) VALUES(""2502"",{""User_ID"": ""2502"",""Subscription_Type"": ""Basic"",""Monthly_Revenue"": 18,""Join_Date"": ""2022-08-31"",""Last_Payment_Date"": ""2023-07-21"",""Country"": ""United States"",""Age"": 33,""Gender"": ""Female"",""Device"": ""Smart TV"",""Plan_Duration"": ""1 Month""});",1.89,0.2,2.09,6.5,"db.netflix_userbase.insertOne({ ""User_ID"": 2501, ""Subscription_Type"": ""Basic"" , ""Monthly_Revenue"": 18, ""Join_Date"": ""2022-08-31"", ""Last_Payment_Date"": ""2023-07-21"" , ""Country"": ""United States"", ""Age"": 33 , ""Gender"": ""Female"" , ""Device"": ""Smart TV"", ""Plan_Duration"": ""1 Month""})",1.51,0.19,1.7,6.16,"INSERT INTO netflix_userbase (User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES (2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON DUPLICATE KEY UPDATE User_ID=2502;",1.27,0.19,1.46,6.06,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",1.0,0.19,1.19,5.98
"INSERT INTO netflix_userbase(KEY, VALUE) VALUES(""2502"",{""User_ID"": ""2502"",""Subscription_Type"": ""Basic"",""Monthly_Revenue"": 18,""Join_Date"": ""2022-08-31"",""Last_Payment_Date"": ""2023-07-21"",""Country"": ""United States"",""Age"": 33,""Gender"": ""Female"",""Device"": ""Smart TV"",""Plan_Duration"": ""1 Month""});",1.52,0.2,1.71,6.3,"db.netflix_userbase.insertOne({ ""User_ID"": 2501, ""Subscription_Type"": ""Basic"" , ""Monthly_Revenue"": 18, ""Join_Date"": ""2022-08-31"", ""Last_Payment_Date"": ""2023-07-21"" , ""Country"": ""United States"", ""Age"": 33 , ""Gender"": ""Female"" , ""Device"": ""Smart TV"", ""Plan_Duration"": ""1 Month""})",1.36,0.18,1.55,6.13,"INSERT INTO netflix_userbase (User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES (2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON DUPLICATE KEY UPDATE User_ID=2502;",1.44,0.18,1.62,5.92,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",1.31,0.18,1.5,6.03
"INSERT INTO netflix_userbase(KEY, VALUE) VALUES(""2502"",{""User_ID"": ""2502"",""Subscription_Type"": ""Basic"",""Monthly_Revenue"": 18,""Join_Date"": ""2022-08-31"",""Last_Payment_Date"": ""2023-07-21"",""Country"": ""United States"",""Age"": 33,""Gender"": ""Female"",""Device"": ""Smart TV"",""Plan_Duration"": ""1 Month""});",1.25,0.2,1.45,6.44,"db.netflix_userbase.insertOne({ ""User_ID"": 2501, ""Subscription_Type"": ""Basic"" , ""Monthly_Revenue"": 18, ""Join_Date"": ""2022-08-31"", ""Last_Payment_Date"": ""2023-07-21"" , ""Country"": ""United States"", ""Age"": 33 , ""Gender"": ""Female"" , ""Device"": ""Smart TV"", ""Plan_Duration"": ""1 Month""})",1.12,0.19,1.31,6.1,"INSERT INTO netflix_userbase (User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES (2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON DUPLICATE KEY UPDATE User_ID=2502;",2.44,0.19,2.64,6.13,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",1.33,0.19,1.52,6.09
UPDATE netflix_userbase SET Age= 30 WHERE User_ID = 1,1.82,0.19,2.01,6.26,"db.netflix_userbase.updateOne({""User_ID"" :1}, {""$set"": {""Age"":30} })",1.38,0.19,1.56,6.06,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.58,0.19,1.76,6.03,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.98,0.19,2.16,6.03
UPDATE netflix_userbase SET Age= 30 WHERE User_ID = 1,2.81,0.19,3.0,6.32,"db.netflix_userbase.updateOne({""User_ID"" :1}, {""$set"": {""Age"":30} })",1.22,0.18,1.41,6.01,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.13,0.19,1.31,6.1,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,0.8,0.18,0.98,6.0
UPDATE netflix_userbase SET Age= 30 WHERE User_ID = 1,1.47,0.19,1.66,6.2,"db.netflix_userbase.updateOne({""User_ID"" :1}, {""$set"": {""Age"":30} })",2.12,0.18,2.3,6.03,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.09,0.19,1.28,6.05,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.32,0.19,1.51,6.02
UPDATE netflix_userbase SET Age= 30 WHERE User_ID = 1,1.0,0.2,1.2,6.39,"db.netflix_userbase.updateOne({""User_ID"" :1}, {""$set"": {""Age"":30} })",0.83,0.18,1.01,5.88,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.05,0.18,1.23,5.99,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.16,0.18,1.34,5.99
UPDATE netflix_userbase SET Age= 30 WHERE User_ID = 1,1.28,0.2,1.47,6.3,"db.netflix_userbase.updateOne({""User_ID"" :1}, {""$set"": {""Age"":30} })",0.82,0.18,1.0,5.89,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.82,0.18,2.01,6.02,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.35,0.18,1.54,5.95
UPDATE netflix_userbase SET Age= 30 WHERE User_ID = 1,1.24,0.19,1.43,6.33,"db.netflix_userbase.updateOne({""User_ID"" :1}, {""$set"": {""Age"":30} })",1.05,0.18,1.23,5.98,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.29,0.18,1.47,5.98,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.09,0.18,1.28,5.95
UPDATE netflix_userbase SET Age= 30 WHERE User_ID = 1,1.51,0.2,1.71,6.29,"db.netflix_userbase.updateOne({""User_ID"" :1}, {""$set"": {""Age"":30} })",1.09,0.18,1.27,5.95,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.1,0.19,1.29,6.02,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.19,0.18,1.37,5.98
UPDATE netflix_userbase SET Age= 30 WHERE User_ID = 1,1.52,0.19,1.71,6.37,"db.netflix_userbase.updateOne({""User_ID"" :1}, {""$set"": {""Age"":30} })",1.17,0.18,1.36,6.0,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.16,0.18,1.34,5.94,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.05,0.18,1.23,5.9
UPDATE netflix_userbase SET Age= 30 WHERE User_ID = 1,1.41,0.21,1.63,6.75,"db.netflix_userbase.updateOne({""User_ID"" :1}, {""$set"": {""Age"":30} })",1.76,0.18,1.94,6.04,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,2.73,0.18,2.92,6.04,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.15,0.18,1.33,5.87
UPDATE netflix_userbase SET Age= 30 WHERE User_ID = 1,1.39,0.19,1.58,6.3,"db.netflix_userbase.updateOne({""User_ID"" :1}, {""$set"": {""Age"":30} })",1.1,0.18,1.28,6.05,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.36,0.18,1.54,5.96,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.2,0.18,1.38,5.93
DELETE FROM netflix_userbase WHERE User_ID = 2;,0.97,0.19,1.16,6.12,"db.netflix_userbase.deleteOne({""User_ID"":2})",1.51,0.19,1.69,6.07,DELETE FROM netflix_userbase WHERE User_ID = 2;,1.5,0.19,1.68,6.14,DELETE FROM netflix_userbase WHERE User_ID = 2;,1.17,0.18,1.35,5.95
DELETE FROM netflix_userbase WHERE User_ID = 2;,1.54,0.19,1.73,6.26,"db.netflix_userbase.deleteOne({""User_ID"":2})",1.16,0.18,1.34,5.87,DELETE FROM netflix_userbase WHERE User_ID = 2;,1.52,0.18,1.7,5.96,DELETE FROM netflix_userbase WHERE User_ID = 2;,1.61,0.18,1.79,5.99
DELETE FROM netflix_userbase WHERE User_ID = 2;,1.46,0.19,1.65,6.28,"db.netflix_userbase.deleteOne({""User_ID"":2})",1.38,0.18,1.56,6.0,DELETE FROM netflix_userbase WHERE User_ID = 2;,1.5,0.18,1.68,6.02,DELETE FROM netflix_userbase WHERE User_ID = 2;,0.99,0.18,1.17,5.93
DELETE FROM netflix_userbase WHERE User_ID = 2;,0.89,0.19,1.08,6.17,"db.netflix_userbase.deleteOne({""User_ID"":2})",1.67,0.21,1.88,6.65,DELETE FROM netflix_userbase WHERE User_ID = 2;,1.37,0.19,1.56,6.03,DELETE FROM netflix_userbase WHERE User_ID = 2;,0.85,0.18,1.04,5.97
DELETE FROM netflix_userbase WHERE User_ID = 2;,0.96,0.19,1.15,6.08,"db.netflix_userbase.deleteOne({""User_ID"":2})",1.19,0.2,1.39,6.4,DELETE FROM netflix_userbase WHERE User_ID = 2;,1.11,0.18,1.3,5.96,DELETE FROM netflix_userbase WHERE User_ID = 2;,1.02,0.18,1.2,5.96
DELETE FROM netflix_userbase WHERE User_ID = 2;,1.06,0.19,1.24,6.1,"db.netflix_userbase.deleteOne({""User_ID"":2})",1.49,0.2,1.68,6.42,DELETE FROM netflix_userbase WHERE User_ID = 2;,0.99,0.18,1.18,6.05,DELETE FROM netflix_userbase WHERE User_ID = 2;,1.14,0.19,1.33,6.0
DELETE FROM netflix_userbase WHERE User_ID = 2;,1.17,0.19,1.36,6.17,"db.netflix_userbase.deleteOne({""User_ID"":2})",1.2,0.19,1.4,6.27,DELETE FROM netflix_userbase WHERE User_ID = 2;,1.73,0.19,1.91,6.04,DELETE FROM netflix_userbase WHERE User_ID = 2;,2.17,0.18,2.36,5.99
