Couchbase Query,CPU consumption,RAM consumption,Total consumption,Time Taken,MongoDB Query,CPU consumption,RAM consumption,Total consumption,Time Taken,MySQL Query,CPU consumption,RAM consumption,Total consumption,Time Taken,PostgreSQL Query,CPU consumption,RAM consumption,Total consumption,Time Taken
"INSERT INTO netflix_userbase(KEY, VALUE) VALUES(""2502"",{""User_ID"": ""2502"",""Subscription_Type"": ""Basic"",""Monthly_Revenue"": 18,""Join_Date"": ""2022-08-31"",""Last_Payment_Date"": ""2023-07-21"",""Country"": ""United States"",""Age"": 33,""Gender"": ""Female"",""Device"": ""Smart TV"",""Plan_Duration"": ""1 Month""});",0.67,0.13,0.8,3.99,"db.netflix_userbase.insertOne({ ""User_ID"": 2501, ""Subscription_Type"": ""Basic"" , ""Monthly_Revenue"": 18, ""Join_Date"": ""2022-08-31"", ""Last_Payment_Date"": ""2023-07-21"" , ""Country"": ""United States"", ""Age"": 33 , ""Gender"": ""Female"" , ""Device"": ""Smart TV"", ""Plan_Duration"": ""1 Month""})",0.69,0.14,0.83,4.36,"INSERT INTO netflix_userbase (User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES (2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON DUPLICATE KEY UPDATE User_ID=2502;",0.58,0.16,0.74,4.76,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",0.75,0.14,0.89,4.33
"INSERT INTO netflix_userbase(KEY, VALUE) VALUES(""2502"",{""User_ID"": ""2502"",""Subscription_Type"": ""Basic"",""Monthly_Revenue"": 18,""Join_Date"": ""2022-08-31"",""Last_Payment_Date"": ""2023-07-21"",""Country"": ""United States"",""Age"": 33,""Gender"": ""Female"",""Device"": ""Smart TV"",""Plan_Duration"": ""1 Month""});",0.24,0.13,0.37,4.01,"db.netflix_userbase.insertOne({ ""User_ID"": 2501, ""Subscription_Type"": ""Basic"" , ""Monthly_Revenue"": 18, ""Join_Date"": ""2022-08-31"", ""Last_Payment_Date"": ""2023-07-21"" , ""Country"": ""United States"", ""Age"": 33 , ""Gender"": ""Female"" , ""Device"": ""Smart TV"", ""Plan_Duration"": ""1 Month""})",0.98,0.14,1.13,4.36,"INSERT INTO netflix_userbase (User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES (2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON DUPLICATE KEY UPDATE User_ID=2502;",0.78,0.14,0.93,4.7,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",0.29,0.14,0.43,4.42
"INSERT INTO netflix_userbase(KEY, VALUE) VALUES(""2502"",{""User_ID"": ""2502"",""Subscription_Type"": ""Basic"",""Monthly_Revenue"": 18,""Join_Date"": ""2022-08-31"",""Last_Payment_Date"": ""2023-07-21"",""Country"": ""United States"",""Age"": 33,""Gender"": ""Female"",""Device"": ""Smart TV"",""Plan_Duration"": ""1 Month""});",0.68,0.14,0.82,4.17,"db.netflix_userbase.insertOne({ ""User_ID"": 2501, ""Subscription_Type"": ""Basic"" , ""Monthly_Revenue"": 18, ""Join_Date"": ""2022-08-31"", ""Last_Payment_Date"": ""2023-07-21"" , ""Country"": ""United States"", ""Age"": 33 , ""Gender"": ""Female"" , ""Device"": ""Smart TV"", ""Plan_Duration"": ""1 Month""})",0.51,0.15,0.66,4.39,"INSERT INTO netflix_userbase (User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES (2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON DUPLICATE KEY UPDATE User_ID=2502;",0.81,0.14,0.94,4.19,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",1.0,0.14,1.14,4.31
"INSERT INTO netflix_userbase(KEY, VALUE) VALUES(""2502"",{""User_ID"": ""2502"",""Subscription_Type"": ""Basic"",""Monthly_Revenue"": 18,""Join_Date"": ""2022-08-31"",""Last_Payment_Date"": ""2023-07-21"",""Country"": ""United States"",""Age"": 33,""Gender"": ""Female"",""Device"": ""Smart TV"",""Plan_Duration"": ""1 Month""});",0.55,0.14,0.69,4.2,"db.netflix_userbase.insertOne({ ""User_ID"": 2501, ""Subscription_Type"": ""Basic"" , ""Monthly_Revenue"": 18, ""Join_Date"": ""2022-08-31"", ""Last_Payment_Date"": ""2023-07-21"" , ""Country"": ""United States"", ""Age"": 33 , ""Gender"": ""Female"" , ""Device"": ""Smart TV"", ""Plan_Duration"": ""1 Month""})",0.46,0.15,0.6,4.6,"INSERT INTO netflix_userbase (User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES (2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON DUPLICATE KEY UPDATE User_ID=2502;",0.63,0.14,0.76,4.12,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",0.65,0.14,0.79,4.31
"INSERT INTO netflix_userbase(KEY, VALUE) VALUES(""2502"",{""User_ID"": ""2502"",""Subscription_Type"": ""Basic"",""Monthly_Revenue"": 18,""Join_Date"": ""2022-08-31"",""Last_Payment_Date"": ""2023-07-21"",""Country"": ""United States"",""Age"": 33,""Gender"": ""Female"",""Device"": ""Smart TV"",""Plan_Duration"": ""1 Month""});",0.41,0.13,0.53,4.22,"db.netflix_userbase.insertOne({ ""User_ID"": 2501, ""Subscription_Type"": ""Basic"" , ""Monthly_Revenue"": 18, ""Join_Date"": ""2022-08-31"", ""Last_Payment_Date"": ""2023-07-21"" , ""Country"": ""United States"", ""Age"": 33 , ""Gender"": ""Female"" , ""Device"": ""Smart TV"", ""Plan_Duration"": ""1 Month""})",0.48,0.15,0.62,4.36,"INSERT INTO netflix_userbase (User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES (2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON DUPLICATE KEY UPDATE User_ID=2502;",0.62,0.14,0.76,4.19,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",0.86,0.13,0.99,4.34
"INSERT INTO netflix_userbase(KEY, VALUE) VALUES(""2502"",{""User_ID"": ""2502"",""Subscription_Type"": ""Basic"",""Monthly_Revenue"": 18,""Join_Date"": ""2022-08-31"",""Last_Payment_Date"": ""2023-07-21"",""Country"": ""United States"",""Age"": 33,""Gender"": ""Female"",""Device"": ""Smart TV"",""Plan_Duration"": ""1 Month""});",0.74,0.13,0.87,4.21,"db.netflix_userbase.insertOne({ ""User_ID"": 2501, ""Subscription_Type"": ""Basic"" , ""Monthly_Revenue"": 18, ""Join_Date"": ""2022-08-31"", ""Last_Payment_Date"": ""2023-07-21"" , ""Country"": ""United States"", ""Age"": 33 , ""Gender"": ""Female"" , ""Device"": ""Smart TV"", ""Plan_Duration"": ""1 Month""})",1.29,0.15,1.44,4.69,"INSERT INTO netflix_userbase (User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES (2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON DUPLICATE KEY UPDATE User_ID=2502;",0.75,0.14,0.89,4.35,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",0.54,0.13,0.67,4.3
"INSERT INTO netflix_userbase(KEY, VALUE) VALUES(""2502"",{""User_ID"": ""2502"",""Subscription_Type"": ""Basic"",""Monthly_Revenue"": 18,""Join_Date"": ""2022-08-31"",""Last_Payment_Date"": ""2023-07-21"",""Country"": ""United States"",""Age"": 33,""Gender"": ""Female"",""Device"": ""Smart TV"",""Plan_Duration"": ""1 Month""});",1.03,0.14,1.17,4.38,"db.netflix_userbase.insertOne({ ""User_ID"": 2501, ""Subscription_Type"": ""Basic"" , ""Monthly_Revenue"": 18, ""Join_Date"": ""2022-08-31"", ""Last_Payment_Date"": ""2023-07-21"" , ""Country"": ""United States"", ""Age"": 33 , ""Gender"": ""Female"" , ""Device"": ""Smart TV"", ""Plan_Duration"": ""1 Month""})",0.86,0.14,1.0,4.46,"INSERT INTO netflix_userbase (User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES (2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON DUPLICATE KEY UPDATE User_ID=2502;",0.76,0.14,0.9,4.41,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",0.87,0.14,1.01,4.35
"INSERT INTO netflix_userbase(KEY, VALUE) VALUES(""2502"",{""User_ID"": ""2502"",""Subscription_Type"": ""Basic"",""Monthly_Revenue"": 18,""Join_Date"": ""2022-08-31"",""Last_Payment_Date"": ""2023-07-21"",""Country"": ""United States"",""Age"": 33,""Gender"": ""Female"",""Device"": ""Smart TV"",""Plan_Duration"": ""1 Month""});",0.69,0.14,0.83,4.29,"db.netflix_userbase.insertOne({ ""User_ID"": 2501, ""Subscription_Type"": ""Basic"" , ""Monthly_Revenue"": 18, ""Join_Date"": ""2022-08-31"", ""Last_Payment_Date"": ""2023-07-21"" , ""Country"": ""United States"", ""Age"": 33 , ""Gender"": ""Female"" , ""Device"": ""Smart TV"", ""Plan_Duration"": ""1 Month""})",0.5,0.14,0.64,4.42,"INSERT INTO netflix_userbase (User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES (2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON DUPLICATE KEY UPDATE User_ID=2502;",0.74,0.16,0.89,4.57,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",0.28,0.14,0.41,4.53
"INSERT INTO netflix_userbase(KEY, VALUE) VALUES(""2502"",{""User_ID"": ""2502"",""Subscription_Type"": ""Basic"",""Monthly_Revenue"": 18,""Join_Date"": ""2022-08-31"",""Last_Payment_Date"": ""2023-07-21"",""Country"": ""United States"",""Age"": 33,""Gender"": ""Female"",""Device"": ""Smart TV"",""Plan_Duration"": ""1 Month""});",0.51,0.14,0.66,4.22,"db.netflix_userbase.insertOne({ ""User_ID"": 2501, ""Subscription_Type"": ""Basic"" , ""Monthly_Revenue"": 18, ""Join_Date"": ""2022-08-31"", ""Last_Payment_Date"": ""2023-07-21"" , ""Country"": ""United States"", ""Age"": 33 , ""Gender"": ""Female"" , ""Device"": ""Smart TV"", ""Plan_Duration"": ""1 Month""})",0.22,0.14,0.36,4.42,"INSERT INTO netflix_userbase (User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES (2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON DUPLICATE KEY UPDATE User_ID=2502;",1.3,0.15,1.44,4.41,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",0.88,0.16,1.03,4.97
UPDATE netflix_userbase SET Age= 30 WHERE User_ID = 1,0.38,0.15,0.53,4.3,"db.netflix_userbase.updateOne({""User_ID"" :1}, {""$set"": {""Age"":30} })",0.4,0.14,0.54,4.25,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,0.74,0.14,0.88,4.24,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,0.33,0.13,0.46,4.34
UPDATE netflix_userbase SET Age= 30 WHERE User_ID = 1,0.68,0.14,0.82,4.22,"db.netflix_userbase.updateOne({""User_ID"" :1}, {""$set"": {""Age"":30} })",0.4,0.14,0.54,4.35,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,0.67,0.15,0.82,4.52,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,0.83,0.13,0.95,4.29
UPDATE netflix_userbase SET Age= 30 WHERE User_ID = 1,0.95,0.14,1.09,4.2,"db.netflix_userbase.updateOne({""User_ID"" :1}, {""$set"": {""Age"":30} })",0.61,0.14,0.76,4.39,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.3,0.17,1.47,5.14,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,0.5,0.13,0.62,4.21
UPDATE netflix_userbase SET Age= 30 WHERE User_ID = 1,0.61,0.13,0.74,4.19,"db.netflix_userbase.updateOne({""User_ID"" :1}, {""$set"": {""Age"":30} })",0.69,0.15,0.83,4.62,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,0.44,0.15,0.59,4.6,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.18,0.13,1.31,4.33
UPDATE netflix_userbase SET Age= 30 WHERE User_ID = 1,0.58,0.13,0.71,4.25,"db.netflix_userbase.updateOne({""User_ID"" :1}, {""$set"": {""Age"":30} })",0.17,0.14,0.31,4.55,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.33,0.16,1.48,4.59,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.01,0.14,1.15,4.38
UPDATE netflix_userbase SET Age= 30 WHERE User_ID = 1,0.46,0.14,0.6,4.23,"db.netflix_userbase.updateOne({""User_ID"" :1}, {""$set"": {""Age"":30} })",0.4,0.14,0.54,4.37,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,0.46,0.14,0.61,4.36,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,0.44,0.13,0.57,4.17
UPDATE netflix_userbase SET Age= 30 WHERE User_ID = 1,1.07,0.15,1.22,4.37,"db.netflix_userbase.updateOne({""User_ID"" :1}, {""$set"": {""Age"":30} })",0.67,0.14,0.81,4.23,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,0.69,0.15,0.84,4.46,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,0.72,0.14,0.85,4.25
UPDATE netflix_userbase SET Age= 30 WHERE User_ID = 1,1.05,0.14,1.19,4.1,"db.netflix_userbase.updateOne({""User_ID"" :1}, {""$set"": {""Age"":30} })",0.69,0.14,0.83,4.82,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,0.66,0.15,0.81,4.36,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.38,0.14,1.52,4.32
UPDATE netflix_userbase SET Age= 30 WHERE User_ID = 1,0.4,0.13,0.53,4.02,"db.netflix_userbase.updateOne({""User_ID"" :1}, {""$set"": {""Age"":30} })",0.52,0.14,0.66,4.6,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,0.71,0.14,0.85,4.37,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,0.53,0.14,0.67,4.27
UPDATE netflix_userbase SET Age= 30 WHERE User_ID = 1,0.75,0.14,0.9,4.24,"db.netflix_userbase.updateOne({""User_ID"" :1}, {""$set"": {""Age"":30} })",0.98,0.15,1.13,4.61,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,0.29,0.13,0.42,4.29,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,0.76,0.13,0.89,4.45
DELETE FROM netflix_userbase WHERE User_ID = 2;,1.04,0.14,1.18,4.22,"db.netflix_userbase.deleteOne({""User_ID"":2})",0.46,0.15,0.61,4.47,DELETE FROM netflix_userbase WHERE User_ID = 2;,0.61,0.14,0.74,4.34,DELETE FROM netflix_userbase WHERE User_ID = 2;,0.56,0.13,0.7,4.28
DELETE FROM netflix_userbase WHERE User_ID = 2;,0.57,0.15,0.72,4.29,"db.netflix_userbase.deleteOne({""User_ID"":2})",0.57,0.15,0.72,4.52,DELETE FROM netflix_userbase WHERE User_ID = 2;,0.52,0.15,0.67,4.49,DELETE FROM netflix_userbase WHERE User_ID = 2;,0.75,0.14,0.89,4.55
DELETE FROM netflix_userbase WHERE User_ID = 2;,0.66,0.14,0.8,4.3,"db.netflix_userbase.deleteOne({""User_ID"":2})",0.74,0.15,0.89,4.71,DELETE FROM netflix_userbase WHERE User_ID = 2;,0.61,0.15,0.76,4.43,DELETE FROM netflix_userbase WHERE User_ID = 2;,0.31,0.13,0.44,4.44
DELETE FROM netflix_userbase WHERE User_ID = 2;,0.97,0.15,1.12,4.46,"db.netflix_userbase.deleteOne({""User_ID"":2})",1.08,0.15,1.22,4.42,DELETE FROM netflix_userbase WHERE User_ID = 2;,0.28,0.13,0.41,4.08,DELETE FROM netflix_userbase WHERE User_ID = 2;,0.39,0.12,0.51,4.15
DELETE FROM netflix_userbase WHERE User_ID = 2;,0.45,0.14,0.59,4.19,"db.netflix_userbase.deleteOne({""User_ID"":2})",0.69,0.15,0.84,4.67,DELETE FROM netflix_userbase WHERE User_ID = 2;,0.57,0.14,0.72,4.29,DELETE FROM netflix_userbase WHERE User_ID = 2;,0.49,0.12,0.61,4.08
DELETE FROM netflix_userbase WHERE User_ID = 2;,1.24,0.15,1.39,4.49,"db.netflix_userbase.deleteOne({""User_ID"":2})",1.76,0.16,1.91,4.6,DELETE FROM netflix_userbase WHERE User_ID = 2;,0.93,0.15,1.08,4.36,DELETE FROM netflix_userbase WHERE User_ID = 2;,0.47,0.12,0.59,4.14
DELETE FROM netflix_userbase WHERE User_ID = 2;,0.72,0.13,0.85,4.26,"db.netflix_userbase.deleteOne({""User_ID"":2})",0.56,0.15,0.71,4.58,DELETE FROM netflix_userbase WHERE User_ID = 2;,0.94,0.14,1.08,4.4,DELETE FROM netflix_userbase WHERE User_ID = 2;,0.63,0.14,0.76,4.69
