Couchbase Query,CPU consumption,RAM consumption,Total consumption,Time Taken,MongoDB Query,CPU consumption,RAM consumption,Total consumption,Time Taken,MySQL Query,CPU consumption,RAM consumption,Total consumption,Time Taken,PostgreSQL Query,CPU consumption,RAM consumption,Total consumption,Time Taken
"INSERT INTO spam (KEY, VALUE) VALUES (""1"",{""v1"":""ham"",""v2"":""Jungle""});",2.18,0.18,2.36,6.05,"db.spam.insertOne({ ""v1"": ""spam"",""v2"":""Hello google""})",1.55,0.18,1.72,6.07,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",1.45,0.19,1.64,6.07,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",2.1,0.19,2.3,7.02
"INSERT INTO spam (KEY, VALUE) VALUES (""1"",{""v1"":""ham"",""v2"":""Jungle""});",1.15,0.18,1.33,6.04,"db.spam.insertOne({ ""v1"": ""spam"",""v2"":""Hello google""})",1.34,0.18,1.52,5.98,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",1.36,0.19,1.54,6.13,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",2.25,0.19,2.44,6.26
"INSERT INTO spam (KEY, VALUE) VALUES (""1"",{""v1"":""ham"",""v2"":""Jungle""});",1.44,0.2,1.64,6.76,"db.spam.insertOne({ ""v1"": ""spam"",""v2"":""Hello google""})",2.36,0.18,2.54,6.06,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",1.43,0.19,1.61,6.11,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",1.89,0.19,2.08,6.21
"INSERT INTO spam (KEY, VALUE) VALUES (""1"",{""v1"":""ham"",""v2"":""Jungle""});",2.87,0.18,3.05,6.25,"db.spam.insertOne({ ""v1"": ""spam"",""v2"":""Hello google""})",2.92,0.18,3.1,6.11,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",1.6,0.19,1.79,6.17,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",2.05,0.19,2.24,6.24
"INSERT INTO spam (KEY, VALUE) VALUES (""1"",{""v1"":""ham"",""v2"":""Jungle""});",2.26,0.18,2.44,6.09,"db.spam.insertOne({ ""v1"": ""spam"",""v2"":""Hello google""})",1.61,0.18,1.78,5.97,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",2.58,0.19,2.77,6.23,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",1.77,0.19,1.96,6.17
"INSERT INTO spam (KEY, VALUE) VALUES (""1"",{""v1"":""ham"",""v2"":""Jungle""});",2.0,0.18,2.18,6.12,"db.spam.insertOne({ ""v1"": ""spam"",""v2"":""Hello google""})",1.29,0.18,1.47,6.11,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",1.17,0.18,1.35,6.08,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",1.28,0.19,1.47,6.19
"INSERT INTO spam (KEY, VALUE) VALUES (""1"",{""v1"":""ham"",""v2"":""Jungle""});",3.22,0.19,3.41,6.41,"db.spam.insertOne({ ""v1"": ""spam"",""v2"":""Hello google""})",2.35,0.18,2.53,6.13,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",1.43,0.19,1.62,6.28,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",1.52,0.19,1.7,6.07
UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,1.99,0.18,2.17,6.27,"db.spam.updateOne({""v2"" :""Hello google""}, {""$set"": {""v1"":""ham""} })",1.7,0.19,1.89,6.25,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,1.33,0.18,1.51,6.13,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,3.22,0.19,3.41,6.19
UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,2.11,0.18,2.29,6.19,"db.spam.updateOne({""v2"" :""Hello google""}, {""$set"": {""v1"":""ham""} })",1.24,0.18,1.42,6.08,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,2.7,0.19,2.89,6.18,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,1.4,0.19,1.58,6.1
UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,2.23,0.18,2.41,6.3,"db.spam.updateOne({""v2"" :""Hello google""}, {""$set"": {""v1"":""ham""} })",1.68,0.18,1.86,6.04,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,0.95,0.18,1.13,6.01,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,3.21,0.19,3.41,6.29
UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,1.98,0.18,2.16,6.18,"db.spam.updateOne({""v2"" :""Hello google""}, {""$set"": {""v1"":""ham""} })",3.03,0.18,3.21,6.04,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,1.44,0.19,1.62,6.16,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,2.64,0.19,2.83,6.17
UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,2.23,0.19,2.41,6.36,"db.spam.updateOne({""v2"" :""Hello google""}, {""$set"": {""v1"":""ham""} })",2.8,0.18,2.98,6.18,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,1.32,0.18,1.5,6.06,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,1.43,0.19,1.62,6.26
UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,2.32,0.18,2.5,6.25,"db.spam.updateOne({""v2"" :""Hello google""}, {""$set"": {""v1"":""ham""} })",2.51,0.18,2.69,6.1,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,1.55,0.19,1.73,6.17,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,3.21,0.19,3.4,6.16
UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,1.5,0.19,1.69,6.58,"db.spam.updateOne({""v2"" :""Hello google""}, {""$set"": {""v1"":""ham""} })",3.09,0.18,3.27,6.21,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,2.88,0.18,3.07,6.07,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,1.56,0.19,1.75,6.17
UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,2.78,0.21,3.0,7.13,"db.spam.updateOne({""v2"" :""Hello google""}, {""$set"": {""v1"":""ham""} })",1.37,0.18,1.55,6.0,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,2.81,0.18,2.99,6.02,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,2.56,0.19,2.74,6.05
UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,2.04,0.19,2.23,6.49,"db.spam.updateOne({""v2"" :""Hello google""}, {""$set"": {""v1"":""ham""} })",1.36,0.18,1.54,6.07,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,1.18,0.18,1.36,5.94,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,1.71,0.19,1.9,6.22
UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,2.67,0.19,2.86,6.5,"db.spam.updateOne({""v2"" :""Hello google""}, {""$set"": {""v1"":""ham""} })",2.09,0.18,2.26,6.06,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,2.77,0.19,2.96,6.18,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,1.97,0.2,2.17,6.36
DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,1.77,0.19,1.96,6.41,"db.spam.deleteOne({""v2"":""Anything""})",1.42,0.18,1.59,5.99,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,1.21,0.18,1.4,6.04,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,1.85,0.19,2.04,6.13
DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,1.9,0.19,2.08,6.38,"db.spam.deleteOne({""v2"":""Anything""})",1.61,0.18,1.78,6.01,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,2.61,0.18,2.79,5.98,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,2.83,0.19,3.02,6.08
DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,1.23,0.18,1.41,6.3,"db.spam.deleteOne({""v2"":""Anything""})",2.34,0.18,2.51,6.05,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,1.14,0.18,1.32,5.96,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,1.59,0.19,1.78,6.06
DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,3.0,0.18,3.18,6.22,"db.spam.deleteOne({""v2"":""Anything""})",1.55,0.18,1.72,6.0,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,1.21,0.18,1.39,6.04,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,2.51,0.19,2.7,6.2
DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,1.2,0.18,1.38,6.15,"db.spam.deleteOne({""v2"":""Anything""})",1.39,0.18,1.57,6.07,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,1.4,0.18,1.58,5.98,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,1.61,0.19,1.8,6.13
DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,1.72,0.18,1.9,6.26,"db.spam.deleteOne({""v2"":""Anything""})",1.34,0.17,1.51,5.95,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,1.13,0.18,1.31,5.98,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,1.83,0.18,2.02,6.09
DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,1.62,0.18,1.8,6.19,"db.spam.deleteOne({""v2"":""Anything""})",1.47,0.18,1.65,6.07,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,2.28,0.19,2.47,6.08,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,1.77,0.19,1.96,6.15
DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,1.95,0.18,2.13,6.18,"db.spam.deleteOne({""v2"":""Anything""})",1.38,0.18,1.55,6.02,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,1.63,0.18,1.81,6.0,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,1.1,0.19,1.28,6.08
DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,2.34,0.18,2.53,6.35,"db.spam.deleteOne({""v2"":""Anything""})",1.92,0.18,2.1,5.98,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,2.08,0.18,2.26,6.01,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,2.06,0.18,2.24,6.07
DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,1.93,0.18,2.11,6.22,"db.spam.deleteOne({""v2"":""Anything""})",2.67,0.18,2.85,6.1,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,1.31,0.18,1.49,5.9,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,1.24,0.18,1.42,5.97
